Predictor,Baseline Coefficient,Baseline Dominance (95% CI),Baseline p value,Lag-1 Coefficient,Lag-1 Dominance (95% CI),Lag-1 p value
省平均气温,0.0725,17.4% (0.4–55.1),0.5502,0.0965,6.7% (0.5–32.1),0.4346
省平均降水,-0.1104,6.8% (0.3–30.2),0.4578,-0.1126,0.4% (0.2–14.2),0.4333
R1xday,0.1049,0.5% (0.2–15.7),0.1588,0.0772,19.8% (0.3–30.8),0.3016
PM2.5,0.0823,0.2% (0.3–39.7),0.2764,0.0908,13.2% (0.3–58.4),0.236
医疗水平,0.1789,52.2% (0.7–60.8),0.1233,0.1934,27.6% (0.8–54.5),0.107
GDP,0.187*,2.5% (0.5–41.5),0.0231,0.1884*,11.4% (0.9–61.0),0.0264
城市用水普及率,-0.0673,16.5% (0.1–38.5),0.4308,-0.0658,14.8% (0.4–26.1),0.1356
生活垃圾无害化处理率,0.0403,0.4% (0.3–40.8),0.2184,0.0359,5.6% (0.4–31.6),0.2491
抗菌药物使用强度,0.1159**,3.4% (0.1–22.3),0.0067,0.116**,0.6% (0.2–20.7),0.0094
Province,No,,,No,,
Year,Yes,,,Yes,,
R² (within),-0.78,..,..,-0.84,..,..
Total number of observations,307,..,..,277,..,..
