Predictor,Coefficient,p-value,Lower CI,Upper CI
PM2.5,0.004177687608139492,0.5963924193082635,-0.011336371047916884,0.019691746264195866
省平均气温,-0.04674231727558227,0.8218975736718557,-0.4552070442889653,0.3617224097378008
医疗水平,0.06746141880267852,0.2612572292282991,-0.05052611265924642,0.18544895026460345
抗菌药物使用强度,0.002218026109309498,0.8733277848162189,-0.02514906351934741,0.029585115737966405
GDP,-0.0206151101538958,0.7827262540758126,-0.16766364562879355,0.12643342532100194
城市用水普及率,0.24053459940360739,0.029879512577140943,0.02363259479021615,0.4574366040169986
生活垃圾无害化处理率,-0.052948950916023856,0.20717919907237747,-0.13540180656571346,0.029503904733665744
省平均降水,0.012743026055865476,0.5621331455902658,-0.030488231099215023,0.055974283210945976
R1xday,-0.002124382770998929,0.7443166831002905,-0.014936824970302765,0.010688059428304907
