Predictor,Coefficient,95% CI,p-value
GDP,0.0378,-0.3376–0.4132,0.8437
PM2.5,0.0063,-0.1689–0.1816,0.9434
R1xday,0.008,-0.0594–0.0754,0.8164
医疗水平,0.2145,-0.2681–0.6971,0.3846
城市用水普及率,0.0405,-0.1111–0.1921,0.6012
抗菌药物使用强度,-0.0332,-0.1302–0.0638,0.5029
生活垃圾无害化处理率,-0.0229,-0.1508–0.105,0.726
省平均气温,0.8661,-2.6454–4.3776,0.6292
省平均降水,-0.2113,-0.6221–0.1996,0.3146
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),-0.2852,,
