Province,region,region_en,region_order,ssp119,ssp585,scenario_gap,scenario_gap_abs,scenario_midpoint
海南,华南,South China,5,0.8831820198694267,1.2980905019284776,0.41490848205905095,0.41490848205905095,1.0906362608989522
天津,华北,North China,1,1.378614294224299,1.654546808224314,0.27593251400001506,0.27593251400001506,1.5165805512243065
北京,华北,North China,1,-0.3904076156135403,-0.1268895818474789,0.2635180337660614,0.2635180337660614,-0.2586485987305096
河北,华北,North China,1,-1.2832268998704317,-1.0860187431939965,0.1972081566764352,0.1972081566764352,-1.184622821532214
辽宁,东北,Northeast China,2,-0.357523914004922,-0.1793181884065902,0.1782057255983318,0.1782057255983318,-0.2684210512057561
吉林,东北,Northeast China,2,-0.2752786783712899,-0.1021049554277908,0.1731737229434991,0.1731737229434991,-0.18869181689954034
江西,华东,East China,3,-0.0817761143198794,0.0878222383162423,0.1695983526361217,0.1695983526361217,0.0030230619981814477
山东,华东,East China,3,-0.3972196631796159,-0.2332161029689317,0.16400356021068418,0.16400356021068418,-0.3152178830742738
安徽,华东,East China,3,1.486671935159162,1.6489540207774065,0.16228208561824453,0.16228208561824453,1.5678129779682841
浙江,华东,East China,3,2.1300246765145268,2.282673125471224,0.15264844895669727,0.15264844895669727,2.206348900992875
上海,华东,East China,3,-0.5997857716350019,-0.458889697299778,0.1408960743352239,0.1408960743352239,-0.52933773446739
湖北,华中,Central China,4,0.1866897989711411,0.3251691878208191,0.138479388849678,0.138479388849678,0.2559294933959801
江苏,华东,East China,3,-0.0739568717250804,0.0611126732203395,0.1350695449454199,0.1350695449454199,-0.0064220992523704515
山西,华北,North China,1,-0.0104637617182419,0.1230498350378574,0.1335135967560993,0.1335135967560993,0.05629303665980775
黑龙江,东北,Northeast China,2,-0.1231545582787525,-0.0004663882866644,0.1226881699920881,0.1226881699920881,-0.06181047328270845
重庆,西南,Southwest China,6,0.0870009014135959,0.2065109644657923,0.11951006305219641,0.11951006305219641,0.1467559329396941
四川,西南,Southwest China,6,0.1219649885907472,0.2323710994713756,0.1104061108806284,0.1104061108806284,0.1771680440310614
湖南,华中,Central China,4,0.1593538973215764,0.2577758966163621,0.09842199929478568,0.09842199929478568,0.20856489696896924
内蒙古,华北,North China,1,-0.1045205024067073,-0.0085813991587109,0.0959391032479964,0.0959391032479964,-0.056550950782709095
广西,华南,South China,5,1.2458948696822,1.3374640758878442,0.09156920620564413,0.09156920620564413,1.291679472785022
河南,华中,Central China,4,-2.5734046156378696,-2.4851790427752363,0.08822557286263333,0.08822557286263333,-2.529291829206553
福建,华东,East China,3,0.5700894201731437,0.657156308213942,0.08706688804079832,0.08706688804079832,0.6136228641935428
宁夏,西北,Northwest China,7,0.1693856998910732,0.2557242717581438,0.08633857186707058,0.08633857186707058,0.21255498582460847
陕西,西北,Northwest China,7,-0.132691927039616,-0.0532061482616867,0.07948577877792928,0.07948577877792928,-0.09294903765065135
贵州,西南,Southwest China,6,0.0741822193545864,0.15035747007013,0.07617525071554361,0.07617525071554361,0.11226984471235821
云南,西南,Southwest China,6,0.1919016731884539,0.2672823971690228,0.07538072398056891,0.07538072398056891,0.22959203517873833
广东,华南,South China,5,2.12122652842141,2.183298929591181,0.06207240116977131,0.06207240116977131,2.1522627290062957
青海,西北,Northwest China,7,0.0439113492309743,0.085292950010821,0.041381600779846706,0.041381600779846706,0.06460214962089765
西藏,西南,Southwest China,6,0.2627048072094347,0.2988888789313328,0.03618407172189814,0.03618407172189814,0.2807968430703838
甘肃,西北,Northwest China,7,0.0349805049290488,0.0677547327466854,0.03277422781763661,0.03277422781763661,0.0513676188378671
新疆,西北,Northwest China,7,-0.0071127555441563,-0.000524804700003,0.0065879508441533,0.0065879508441533,-0.00381878012207965
