,Coefficient,Std.Err,t-stat,P>|t|,CI_lower,CI_upper,Signif,Coef (SE)
气温,0.03306103446043664,0.05893085585723062,0.5610139879952238,0.5754387610063096,-0.08317015922837079,0.1492922281492441,,"0.0331
(0.0589)"
降水量,-7.545649848354341e-05,6.0480832444981515e-05,-1.2476101176713306,0.21368552753806758,-0.0001947447600931095,4.383176312602267e-05,,"-0.0001
(0.0001)"
极端降水（R1xday）,-0.0004362150522904171,0.0006800817797197628,-0.6414155845642058,0.522013696906062,-0.0017775618885613833,0.0009051317839805492,,"-0.0004
(0.0007)"
PM2.5,-3.38600033481986e-05,0.001609595715031974,-0.021036340387825887,0.9832383989478464,-0.0032085166173264454,0.003140796610630048,,"-0.0
(0.0016)"
医疗水平,0.007587116417392305,0.006837413939094144,1.1096470807495802,0.26853182347353965,-0.005898531675191671,0.02107276450997628,,"0.0076
(0.0068)"
GDP,-7.405541434994018e-07,6.001120568008604e-06,-0.12340264374077478,0.9019166793394151,-1.2576754330035658e-05,1.1095646043036853e-05,,"-0.0
(0.0)"
城市用水普及率,0.004405464346106983,0.019618851834245044,0.2245526080388236,0.8225648905844896,-0.03428941856926413,0.04310034726147809,,"0.0044
(0.0196)"
生活垃圾无害化处理率,0.002199510372870719,0.004836607362810829,0.45476306176577,0.6497908029130142,-0.00733988353217473,0.011738904277916167,,"0.0022
(0.0048)"
抗菌药物使用强度,0.0012012616595321428,0.0020623170440617583,0.5824815650877052,0.5609222233248743,-0.0028663115719986523,0.005268834891062938,,"0.0012
(0.0021)"
